ABAISSER	Se baisser.
AMBRETTE	Nom vernaculaire de Abelmoschus moschatus plante de la famille des Malvacées (Malvaceae) dont les graines ont l’odeur d’ambre gris et servaient autrefois principalement à parfumer la poudre pour les cheveux.
AMBULANT	Qui va d’un lieu à un autre.
AMENDANT	Relatif à un amendement.
AMENOKAL	Chef traditionnel touareg.
AMENTALE	Variété d'arbres à chatons.
AMERTUME	Saveur de ce qui est amer.
AMEUBLIR	Rendre meuble.
AMIBIASE	Infection parasitaire tropicale, due à Entamoba histolytica.
AMIMIQUE	Atteint d’amimie.
AMIRALAT	Dignité d’amiral.
AMITIEUX	Collante, grasse en parlant d'une terre.
AMMANIEN	Relatif à la ville d’Amman, capitale de la Jordanie, ou à ses habitants.
AMMODYTE	Vipère de l’Europe méridionale (Vipera ammodytes).
AMMONIAC	Relatif à l’ammoniac.
AMMONITE	Fossile de la coquille d’une ammonite.
AMMONIUM	Radical composé, de formule \text{NH}_4^+ que l’on retrouve entre autres dans l’ammoniaque () et le chlorure d’ammonium ().
AMNIOTES	Vertébrés supérieurs dont l’embryon possède un amnios.
AMNISTIE	Pardon général.
AMOINDRI	Intellectuellement faible, incapable.
AMORCEUR	Celui qui amorce.
AMORRITE	Relatif au peuple antique des Amorrites.
AMOUILLE	Premier lait fourni par une vache qui vient de vêler.
AMOUREUX	Qui aime d’amour.
AMOVIBLE	Déplaçable, .
AMPHIBIE	Amphibien.
AMULETTE	Objet censé protéger par magie, protéger contre des sorts, éviter des malheurs ; généralement, il faut pour cela le porter sur soi.
AMUSETTE	Petit amusement.
AMUSEUSE	Celle qui amuse.
AMYGDALE	Chacune des deux glandes, en forme d’amande, qui sont aux deux côtés de la gorge, sous la luette.
AMYLIQUE	Qualifie une substance qui renferme le groupement amyle.
ANABIOSE	*Une anabiose consiste en la reprise d'une vie active après une diapause prolongée, en particulier après une dessiccation.
ANABLEPS	Genre de poissons acanthoptérygiens ovovivipares (Anableps spp.) appartenant à la famille spécialisée des Anablepidae, et qui ont les singulières caractéristiques d'avoir les yeux scindés horizontalement en deux parties (d’où leur nom vernaculaire de quatre-yeux) et d’exhiber une asymétrie axiale de l’orientation de leurs organes de copulation.
ANACARDE	Fruit de l’anacardier, comprenant la noix de cajou et la pomme de cajou.
ANACONDA	Grand serpent ophidien aquatique d’Amérique du Sud qui se nourrit de mammifères et d’oiseaux.
ANADROME	Transport des matières morbifiques aux parties supérieures.
ANAGOGIE	Niveau interprétatif qui vise l’essence des choses ou les réalités ultimes.
ANALEPSE	Retour en arrière dans une ligne narratrice.
ANALOGIE	Rapport qu’ont entre eux certains mots ou certaines lettres.
ANALOGON	Autre lui-même.
ANALOGUE	Ellipse de analogue chimique.
ANALYSER	Examiner en ses différentes parties.
ANALYSTE	Celui ou celle qui s’occupe d’analyses chimiques.
ANAPESTE	Pied composé de deux brèves et d’une longue.
ANAPHASE	Troisième phase très rapide de la méiose et de la mitose, succédant à la prophase et à la métaphase, où les chromatides sœurs (durant la mitose ou la deuxième division de méiose) ou les chromosomes homologues (durant la première division de méiose) se séparent et migrent vers les pôles opposés de la cellule.
ANAPHORE	Figure de style qui consiste en la répétition du ou des même(s) mot(s) au début de plusieurs phrases ou vers.
ANARCHIE	Absence de règles ou de loi.
ANATEXIE	Processus de fusion partielle, ou totale, des roches métamorphiques soumises à des températures de plus en plus élevées.
ANATOMIE	Aspect corporel ; stature.
ANATROPE	Vomissement et nausée.
ANAVENIN	Venin modifié par la chaleur ou le formol pour ne pas être pathogène et rester antigénique.
ANCIENNE	Femme âgée.
ANDAINER	Mettre (le foin ou la paille) en andains.
ANDORRAN	Relatif à Andorre, à ses habitants ou à sa culture.
ANECDOTE	Particularité historique.
ANEURINE	Synonyme de thiamine.
ANGEVINE	Habitante de l’Anjou, ancienne province française.
ANGINEUX	Qui caractérise l'angine de poitrine
ANGLAISE	Anglophone du Canada.
ANGLICAN	Qui appartient ou qui est relatif à l’anglicanisme.
ANGLICHE	Habitant de Grande-Bretagne ou personne originaire de ce pays.
ANGOISSE	Commune française, située dans le département de la Dordogne.
ANGOLAIS	Relatif à l’Angola, pays d’Afrique, ou à ses habitants.
ANGUILLE	Autre nom d’Anguilla, dans les Caraïbes.
ANGULEUX	Qui est rude, difficile.
ANIDROSE	Absence de sueur.
ANILISME	Intoxication par l’aniline.
ANIMELLE	Abat, sous-produit de boucherie.
ANIMISME	Doctrine philosophique qui fait de l’âme le principe de tous les phénomènes vitaux.
ANIMISTE	Partisan de l’animisme.
ANISETTE	Verre de cette boisson.
ANKARIEN	Relatif à Ankara ou à ses habitants.
ANNAMITE	Habitant ou habitante de l’Annam.
ANNELLES	Commune française, située dans le département des Ardennes.
ANNELURE	Frisure de cheveux par boucles ou anneaux.
ANNEXION	Action d’annexer.
ANNEXITE	Manie de joindre des annexes aux documents.
ANNONCER	S’inscrire
ANNONIER	Chérimolier.
ANNUAIRE	Tableau annuel d’avancement.
ANNUELLE	Plante dont le cycle de vie s’accomplit en une seule saison de végétation, puis qui meurt.
ANODIQUE	Relatif à l’anode d'un composant électrique ou électronique.
ANODISER	Procéder à l’anodisation de quelque chose.
ANODONTE	Sorte de moule d’eau douce de grande taille, à la charnière dépourvue de dents.
ANOMALES	Classe de plantes selon le système de , qui n'avait pas de type.
