ABAISSER	Se baisser.
POULETTE	Jeune poule.
POULICHE	Jeune fille (affectueusement).
POULINER	Mettre bas un poulain, en parlant d’une jument.
POULSARD	Cépage donnant de petites grappes de petits raisins noirs donnant un jus rose pâle.
POUPELIN	Pièce de four, composée de fine fleur de froment, de lait et d’œufs frais, de sucre et d’écorce de citron, qu’on trempait toute chaude dans le beurre lorsqu’elle était cuite.
POUPOULE	Petite poule ; poule.
POURCEAU	Porc ; cochon.
POURPIER	Portulaca grandiflora, le pourpier à grandes fleurs.
POURPRIN	De couleur de la pourpre.
POURQUOI	Cause, raison.
POURRAVE	Nul ; minable.
POURRIEL	Désigne les communications électroniques de masse, notamment de courrier électronique, sans sollicitation des destinataires, à des fins publicitaires ou malhonnêtes.
POURTANT	Néanmoins ; cependant ; malgré cela.
POURTOUR	Partie qui fait le tour d’un lieu.
POURVOIR	Orner, doter.
POUSSAGE	Action de pousser un engin.
POUSSEUR	Bateau pousseur.
POUSSIER	Argent.
POUSSINE	Jeune poule.
POUSSINS	Collectif d'autoentrepreneurs dont le but est de défendre leurs intérêts face à l'État français.
POUSSIVE	Personne poussive.
POUSSOIR	Appareil servant à embosser la chair dans un boyau.
POUTRAGE	Assemblage de poutres.
PRACTICE	Terrain d'entrainement.
PRADELLE	Commune française, située dans le département de la Drôme.
PRAIRIAL	Relatif aux prairies.
PRAIRIES	Région du Canada composée des provinces du Manitoba, de la Saskatchewan et de l’Alberta.
PRALINER	Mêler de pralines pilées.
PRANDIAL	Relatif au repas.
PRATIQUE	Fréquentation.
PRAXIQUE	Relatif à une praxie.
PRENABLE	Qui peut être séduit, être corrompu.
PRESBYTE	Hypermétrope, qui ne distingue bien que les objets éloignés.
PRESCRIT	Recommandation explicite.
PRESSAGE	Action de presser.
PRESSANT	Qui est urgent, qui ne permet pas de différer.
PRESSEUR	Qui presse.
PRESSIER	Ouvrier imprimeur qui travaille à la presse à bras.
PRESSING	Repassage à la vapeur.
PRESSION	Bouton-pression.
PRESSOIR	Village et ancienne commune française, située dans le département de la Somme intégrée dans la commune de Ablaincourt-Pressoir.
PRESSURE	Liqueur, préparée avec la caillette des veaux et des jeunes animaux ruminants, à l’âge où ils sont encore nourris de lait.
PRESTANT	Qui a de la prestance.
PRESTIGE	Considération que reçoivent certaines choses.
PRIEURAL	Relatif à un prieur ou à un prieuré.
PRIMAIRE	Première appellation attestée du Paléozoïque, nommée par le géologue Arduino en 1730, première ère des temps géologiques suivant l'apparition des trilobites.
PRIMATES	Simien.
PRIMATIE	Dignité de primat.
PRIMITIF	Mot primitif.
PRINCEPS	Qui précède tous les autres.
PRINCIER	Qui se rapporte à un prince, une princesse.
PRINCIPE	Deuxième île de l’archipel de Sao Tomé-et-Principe, par ordre d’importance.
PRISEUSE	Celle qui a l’habitude de priser du tabac.
PRISUNIC	Chaîne de magasins implantée en France de 1931 à 2003.
PRIVATIF	Qui marque l’absence, la privation d’une chose.
PROACTIF	Qui anticipe les réponses à donner à un problème.
PROBABLE	Ce qui peut probablement arriver.
PROCHAIN	Futur.
PROCLISE	Propriété d’un mot proclitique (phonétiquement attaché au mot suivant).
PROCLIVE	Qui se dirige en avant.
PROCTITE	Inflammation de l’anus.
PROCURER	Donner ses soins à l’édition d’un livre.
PRODIGUE	Personne prodigue.
PRODROME	Fait qui présage un événement.
PRODUIRE	Faire, composer, créer.
PROFANER	Commettre un acte impie dans un lieu sacré.
PROFILER	Décrire le profil de.
PROFITER	Être utile, servir.
PROFONDE	Cave d’une maison.
PROGERIA	Maladie génétique rare qui provoque un vieillissement accéléré.
PROHIBER	Défendre, interdire.
PROJETER	Faire des projets.
PROLEPSE	Anticipation, prénotion.
PROLOGUE	Discours préliminaire, avant-propos.
PROLONGE	Chariot à munitions.
PROMENER	Faire une promenade.
PROMESSE	Engagement à terme.
PRONONCE	Suppléant du nonce apostolique.
PROPAGER	Répandre, étendre, augmenter, faire croître.
PROPHASE	Première phase de la division cellulaire (mitose ou méiose) pendant laquelle l'ADN, qui en temps normal est présent dans le noyau sous la forme de chromatine, se condense en chromosomes, qui s'individualisent en filaments fissurés longitudinalement, et le centrosome forme le fuseau mitotique.
PROPOLIS	Matière résineuse, d’un brun rougeâtre, dont les abeilles se servent pour boucher les fentes et les trous de leurs ruches.
PROPOSER	S’assigner à soi-même.
PROROGER	Prolonger le temps qui avait été pris, qui avait été donné pour quelque chose.
PRORUSSE	Favorable à la Russie.
PROSCRIT	Personne bannie.
PROSECCO	Vin blanc effervescent italien.
PROSPECT	Client potentiel.
PROSTATE	Une glande de l’appareil génital masculin qui sécrète une partie du liquide séminal et qui, chez l’homme, est située sur la ligne médiane et à la partie inférieure du col vésical.
PROSTYLE	On l’emploie aussi comme adjectif.
PROTIQUE	Se dit d’un acide capable de céder un ion hydrogène H+ appelé aussi « proton ».
PROTISTE	Organisme eucaryote unicellulaire.
PROUESSE	Action de preux, vaillance.
PROUVAIS	Commune française, située dans le département de l’Aisne.
PROVENDE	Provision de vivres.
PROVENIR	Procéder ; venir ; dériver ; résulter.
PROVERBE	Livre qui contient ces maximes
PROVINCE	Province de Québec au Canada.
PROVIRAL	Qui se transcrit dans le génome de la cellule hôte.
PROVIRUS	Séquence d’ADN double brin située dans un chromosome d’eucaryote et correspondant au génome d’un rétrovirus.
PROXIMAL	Qui est le plus près d'un lieu.
PRUDERIE	Réserve outrée et affectée en ce qui touche à la pudeur et à la bienséance ; pudibonderie.
PRUINEUX	Qui est couvert ou qui semble couvert de pruine.
PRUNELLE	Sorte d’étoffe.
PRUNIERS	Commune française du département de l’Indre.
PRUSSIEN	Relatif à la Prusse, duché puis royaume d’Europe orientale.
PSAMMITE	Roche sédimentaire détritique, riche en quartz et en muscovite.
PSAUTIER	Livre, manuscrit ou imprimé, qui contient les psaumes.
PSYCHOSE	État de panique collective provoquée par un événement ou un fléau vécu comme une menace permanente.
PSYLLIUM	Nom de divers plantains (Plantago spp.).
PTYALINE	Amylase salivaire qui transforme lʼamidon en dextrose et maltose.
PUANTEUR	Odeur infecte.
PUBALGIE	Syndrome douloureux de la région inguino-pubienne développé par un surmenage sportif des muscles abdominaux et des adducteurs.
PUBLIANT	Celui qui publie.
PUCCINIA	Nom scientifique de champignons basidiomycètes responsables de maladies fongiques des végétaux connues sous le nom de rouille.
PUCCINIE	Genre de champignon basidiomycète de la famille des Pucciniaceae, responsable de maladies fongiques appelées rouille.
PUCELAGE	Innocence ; inexpérience ; ignorance.
PUDDLAGE	Synonyme de mise en boue.
PUDDLEUR	Ouvrier employé au puddlage.
PUDENDAL	Relatif au pudendum.
PUDIBOND	Qui a une pudeur exagérée jusqu’au ridicule.
PUISETTE	Récipient qui sert à puiser de l’eau.
PUISSANT	Nom de famille.
PULLULER	Se répandre rapidement ; abonder.
PULPAIRE	Relatif à la pulpe.
PULSANTE	Étoile pulsante.
PULSATIF	Qui cause des pulsations.
PUNAISER	Fixer avec des punaises.
PUNCHEUR	Personne (en particulier sportif) capable de développer une grande explosivité.
PUNCTURE	Acte thérapeutique sous forme de piqure, en particulier dans le cadre de soins par l'acupuncture.
PUNITION	Action de punir, d’infliger une correction à quelqu’un.
PUNKETTE	Femme suivant le mouvement punk.
PUPIPARE	Qualifie une mouche dont la femelle pond des pupes prêtes à éclore, le développement et le nourrissement de la larve s'effectuant dans son utérus. Les mouches plates et la mouche tsé-tsé sont pupipares.
PUREMENT	Uniquement ; simplement.
PURGATIF	Substance purgative.
PURGEOIR	Lieu, bassin où de l’eau se purifie, se clarifie.
PURIFIER	Devenir pur ou plus pur. — Se dit tant au propre qu’au figuré.
PURITAIN	Relatif au puritanisme.
PURPURIN	Qui approche de la couleur de la pourpre.
PURULENT	Qui est mêlé de pus ; où se forme du pus.
PUTASSER	Se comporter de façon racoleuse.
PYCNIQUE	Qualifie une personne dont le physique est caractérisé par la force.
PYGARGUE	Nom donné aux espèces de rapaces diurnes du genre Haliaeetus, qui se nourrissent surtout de poissons (piscivores), au bec massif et dont les pattes ne sont pas recouvertes de plumes jusqu’aux serres (comme le sont les aigles vrais).
PYRAMIDE	Synonyme de noctuelle cuivrée.
PYRIDINE	Hétérocycle de formule chimique brute .
PYROLYSE	Décomposition sans flamme d’un corps organique par la chaleur pour obtenir d'autres produits qu’il ne contenait pas.
PYROMANE	Personne touchée par un trouble du comportement entraînant une fascination pour le feu. Dans les cas les plus graves, ce trouble se traduit par des pulsions qui poussent à provoquer des incendies.
PYROXYLE	Fulmi-coton, coton-poudre, cellulose nitrée.
PYTHIQUE	Ode de Pindare qui célébraient des victoires remportées aux jeux pythiques.
QATARIEN	Qui a un rapport avec le Qatar.
QUADEUSE	Conductrice de quad.
QUADRANT	Quart de circonférence.
QUADRIGE	Statue représentant un quadrige.
QUANTEUR	Quantificateur, .
QUANTILE	Valeur qui partage une distribution statistique en effectifs égaux.
QUARANTE	Commune française, située dans le département de l’Hérault.
QUARTAIS	Habitant de La Quarte, commune française située dans le département de la Haute-Saône.
QUARTAUT	Baril, petit tonneau de cette contenance.
QUARTIDI	Le quatrième jour de la décade, dans le calendrier républicain.
QUARTIER	Le Quartier latin.
QUARTILE	L’un des quatre ensembles de données situés entre ces quatre valeurs.
QUASSIER	Arbrisseau de la Guyane et des Antilles, qui donne l’écorce amère appelée quassia.
QUASSINE	Synonyme de .
QUATERNE	Gros gain survenu par coup de fortune.
QUATORZE	La guerre de 1914-1918.
QUATRAIN	Quatre vers qui font partie d’un sonnet, d’une stance, etc.
QUELQUES	(Avec un cardinal et et) Un petit nombre d’unités, d’objets, comme un cardinal.
QUENELLE	Petit boudin d’une préparation (crème, mousse, purée, glace, etc.) formé en utilisant deux cuillères à soupe.
QUENETTE	Nom de famille.
QUENOTTE	Dent d’un enfant.
QUERELLE	Contestation, démêlé, dispute mêlée d’aigreur et d’animosité.
QUESTEUR	Magistrat romain chargé, dans les armées ou dans les provinces, de l’administration des finances.
QUESTION	Quant à
QUESTURE	Dignité, charge de questeur.
QUETSCHE	Vagin.
QUEUTAGE	Action de queuter.
QUEUTARD	Qui est porté sur le sexe.
QUILLARD	Militaire appelé proche de la quille.
QUILLEUR	Joueur au jeu de quilles.
QUILLIER	Assemblage de toutes les quilles prises ensemble.
QUIMBOIS	Sorcellerie présente dans les Antilles françaises, apparentée au vaudou haïtien, à la santeria cubaine ou au candomblé brésilien.
QUINAIRE	Qui utilise cinq.
QUINQUET	Yeux.
QUINQUIN	Petit enfant.
QUINTEUX	Qui est fantasque, qui est sujet à des quintes, à des accès de mauvaise humeur.
QUINTIDI	Cinquième jour de la décade, dans le calendrier républicain.
QUINTILE	Cinquième partie d’un tout, un cinquième.
QUISCALE	Espèce de passereau américain appartenant à la famille des Icteridae.
QUOLIBET	Plaisanterie vulgaire et injurieuse.
QUOTIENT	Résultat de la division d’un nombre (le dividende) par un autre (le diviseur).
RABATTRE	Aplatir.
RABBINAT	Dignité de rabbin.
RABIOTER	S'attribuer, obtenir un supplément, gagner, grappiller, gratter.
RABONNIR	Rendre meilleur.
RABOTAGE	Action de raboter ; résultat de cette action.
RABOTEUR	Ouvrier qui se sert du rabot pour les moulures, les parquets, etc.
RABOTEUX	Qui est noueux, inégal, en parlant du bois.
RABOUGRI	Qualifie une personne petite et chétive.
RABOUTER	Assembler deux pièces de bois, de métal ou d’étoffe bout à bout.
RABROUER	Rebuter quelqu’un avec rudesse.
RACAGNAC	Crécelle.
RACAHOUT	Poudre alimentaire composée entre autre de farine de riz et de gland, de fécule de pomme de terre, de cacao, de salep, de sucre, de vanille, etc.
RACAILLE	Personnage issu de ce groupe d’individus.
RACCORDS	Ensemble des accessoires, garnitures, raccordements de tuyauteries, agencements présents dans une installation pétrolière.
RACCUSER	Rapporter, dénoncer, venir se plaindre de l'action d'autres enfants (auprès des parents, de l'institutrice).
RACHETER	Obtenir sa rédemption.
RACINAGE	Formation des racines sur une bouture ou une plantule.
RACINIEN	Qui tient du style de , qui y ressemble.
RACLETTE	Petite racle.
RACLEUSE	Celle qui fait du raclage.
RACOLAGE	Action de racoler.
RACOLEUR	Qui racole.
RACONTAR	Commérage, nouvelle qui ne repose sur rien de sérieux.
RACONTER	Dire avec légèreté ou mauvaise foi.
RACORNIR	Dessécher, rendre dur et coriace.
RADIAIRE	Qui est disposé en rayons.
RADIANCE	Rayonnement.
RADIATIF	Relatif à la radiation.
RADICALE	Femme radicale.
RADICANT	Qui produit des racines à côté de la racine principale.
RADICULE	Rudiment de la racine, dans un germe qui se développe.
RADIEUSE	Nom de marque d'un ancien calorifère.
RADOTAGE	État de celui qui radote.
RADOTEUR	Qui radote.
RADOUBER	Réparer.
RADOUCIR	Rendre plus doux.
RAFFINAT	Produit secondaire dérivé du raffinage.
RAFFINER	Rendre plus précis.
RAFFOLER	Se passionner follement pour quelqu’un ou pour quelque chose.
RAFFUTER	Utiliser la technique du raffut.
RAFTEUSE	Femme qui pratique le raft.
RAGONDIN	Fourrure de cet animal.
RAGRAFER	Agrafer de nouveau.
RAILLEUR	Porté à la raillerie.
RAINURER	Faire une rainure dans (quelque chose).
RAIPONCE	Personnage principal du conte.
RAISINET	Groseille rouge, fruit de Ribes rubrum.
RAJEUNIR	Redonner de la vigueur.
RAJOUTER	Ajouter.
RAJUSTER	Remettre en ordre.
RALENTIR	Diminuer la vitesse.
RALINGUE	Cordage cousu autour des voiles pour en renforcer les bords.
RALLONGE	Ce qui sert à rallonger une chose.
RALLUMER	Allumer de nouveau.
RAMASSER	Tomber.
RAMASSIS	Assemblage de choses, de personnes disparates et de peu de valeur.
RAMBARDE	Parapet ; barrière.
RAMENARD	Qui se met en avant (littéralement : « qui ramène [sa figure] en avant »).
RAMENDER	Amender, fumer de nouveau.
RAMEQUIN	Fromage sec au lait de vache du .
RAMEREAU	Jeune ramier.
RAMEUTER	Venir en meute, en groupe.
RAMIFIER	Se partager, se diviser, en plusieurs branches, en plusieurs rameaux.
RAMINGUE	Se dit d'un cheval qui se défend de l'éperon, qui refuse d'avancer lorsqu'on le lui fait sentir.
RAMOLLIR	Amollir, rendre mou et maniable.
RAMONAGE	Action de ramoner.
RAMONDIE	Autre nom de la ramonde.
RAMONEUR	Partisan de .
RANCOEUR	Mauvaise orthographe de rancœur.
RAPAILLE	Friche, généralement reboisée ; taillis.
RAPIETTE	Nom vernaculaire de Podarcis muralis ou lézard des murailles.
RAPLAPLA	Tout plat.
RAPLATIR	Faire devenir tout plat.
RAPPELER	Abroger.
RAPPEUSE	Celle qui s’adonne au rap.
RAPPONSE	Réparation par ajout ou remplacement d'un morceau. Variante orthographique de raponce.
RAPPUYER	Appuyer encore une fois.
RAQUETTE	Raquette à neige.
RAREMENT	Peu souvent ; peu fréquemment.
RASCASSE	Une des espèces de poissons osseux marins de plusieurs genres, généralement de fonds rocheux, au corps massif avec des lambeaux de peau, aux nageoires épineuses ainsi que la tête, elle-même dotée d'une large bouche.
RASEMENT	Action de raser, d’abattre à ras de terre une fortification, un édifice, etc., ou résultat de cette action.
RASETEUR	Personne qui défie un taureau ou cocardier pour aller chercher une cocarde entre les cornes du taureau lors d’une course camarguaise.
RASSEOIR	Asseoir de nouveau.
RASSURER	Affermir, rendre stable.
RATICHON	Prêtre ; curé.
RATICIDE	Qui détruit les rats .
RATIFIER	Approuver, confirmer dans la forme requise ce qui a été fait ou promis.
RATINAGE	Frisage qui a pour effet de rouler ou onduler les filaments qui constituent le duvet de la surface d’une étoffe de laine, pour lui donner une apparence boutonnée ou d’une moire opaque.
RATIONAL	Pectoral.
RATISSER	Nettoyer à l’aide du râteau.
RATONNER	Se livrer à des ratonnades.
RATTRAPE	Action de rattraper lors d'un exercice de gymnastique ou d'acrobatie.
RATURAGE	Action de raturer, rature.
RAUCHAGE	Action de remettre à section une galerie de mine, action de raucher.
RAUCHEUR	Dans les mines, ouvrier occupé à élargir les galeries affaissées, et en règle générale de maintenir les boisages en bon état.
RAVAGEUR	Celui qui ravage.
RAVALEUR	Ouvrier qui travaille au ravalement.
RAVAUDER	Ruminer, ressasser mentalement.
RAVENALA	Arbre du voyageur (Ravenala madagascariensis).
RAVIGOTE	Sauce blanche à l'échalote avec du vin blanc et du vinaigre agrémentée en dehors du feu de civette, d’estragon, de pimprenelle, de cerfeuil, etc.
RAYEMENT	Action de rayer.
RAYGRASS	Plante herbacée de la famille des Poacées, employée pour les pelouses, les prairies artificielles.
RAYONNER	Propager un rayonnement.
RAZETEUR	Personne qui défie un taureau ou cocardier pour aller chercher une cocarde entre les cornes du taureau lors d’une course camarguaise.
REBATTRE	Battre de nouveau.
REBELLER	Refuser de se soumettre ou de suivre.
REBELOTE	Interjection montrant la répétition d’un fait.
REBIFFER	Se refuser à quelque chose avec brusquerie.
REBIQUER	Irriter, énerver quelqu’un.
REBOISER	Planter des arbres sur des terrains où il existait des bois qui ont été détruits.
REBONDIR	Atteindre sans déranger.
REBOOTER	Redémarrer (un ordinateur, un système).
REBORDER	Mettre un nouveau bord.
REBOUTER	Bouter à nouveau.
REBRODER	Refaire une broderie.
REBRULER	Bruler à nouveau.
REBUTANT	Qui rebute, qui décourage.
RECADRER	Cadrer à nouveau.
RECALAGE	Fait de se voir interdire l’accès à un lieu. Refoulement.
RECALCUL	Action de recalculer.
RECARDER	Carder de nouveau.
RECASSER	Casser de nouveau.
RECAUSER	Causer (au sens de parler, bavarder) une nouvelle fois de quelque chose.
RECELEUR	Celui qui recèle.
RECENSER	Passer en revue ; faire l’inventaire ou le bilan ; évaluer.
RECEPAGE	Action de receper ou résultat de cette action.
RECETTER	Procéder à la recette d’un produit ou d'un logiciel.
RECEVEUR	Joueur qui attrape la balle lancée par le lanceur.
RECEVOIR	Admettre.
RECHAPER	Recycler (un pneu usagé) en y remettant une couche de gomme neuve.
RECHARGE	Action de recharger.
RECHUTER	Redevenir malade par une rechute.
RECINGLE	Outil d’orfèvre pour redresser les formes bosselées.
RECLOUER	Clouer de nouveau.
RECOLLER	Coller de nouveau.
RECOPIER	Transcrire.
RECORDER	Se souvenir.
RECOUDRE	Pratiquer une suture.
RECOUPER	Couper de nouveau.
RECOURIR	Se pourvoir.
RECRUTER	Se fournir de recrues.
RECTORAL	Relatif au recteur ou au rectorat.
RECTORAT	Charge, office, dignité du recteur.
RECTRICE	Épouse d’un recteur.
RECULADE	Mouvement en arrière.
RECULOIR	Bande de cuir qui entoure la croupe en dessous de la queue d’un cheval tirant un chariot, lui permettant de retenir la voiture dans les descentes et l’empêchant de reculer.
RECULONS	Marche arrière.
RECYCLER	Remettre au goût du jour.
REDEVOIR	Être en reste, devoir de nouveau tout compte fait.
REDISEUR	Celui qui redit, répète les mêmes choses, .
REDONDER	Avoir en trop.
REDONNER	Revenir à la charge.
REDORMIR	Dormir de nouveau.
REDOUTER	Craindre fort.
REDRESSE	Cordage très solide, qui sert à redresser un bâtiment abattu en carène.
REFENDRE	Fendre de nouveau.
REFERMER	Fermer de nouveau ; fermer ce qui était ouvert.
REFLEURI	Qui a retrouvé son éclat.
REFONDER	Donner de nouvelles fondations à une entreprise, un pays, une ville...
REFONDRE	Mettre à la fonte une seconde fois, fondre de nouveau.
REFORMER	Former de nouveau.
REFOULER	Comprimer.
REFOUTRE	Foutre de nouveau, remettre.
REFROIDI	Chose ancienne, qui a perdu de son actualité.
REFUZNIK	En URSS et dans les pays de l’Est, personne à qui certains droits ont été refusés, notamment celui d'émigrer.
REGAGNER	Gagner ce qu’on avait perdu.
REGARDER	Se mirer.
REGARNIR	Garnir de nouveau.
REGIMBER	S’insurger, se révolter.
REGISTRE	Étendue de valeurs.
REGOMMER	Gommer une seconde fois.
REGONFLE	En abondance, à l'envi, à l'excès.
REGORGER	Être très abondant.
REINETTE	Pomme à peau tachetée.
RELANCER	Lancer de nouveau.
RELATION	Liaison affective ou amoureuse.
RELATIVE	Proposition relative.
RELAVAGE	Action de relaver.
RELAXANT	Qui relaxe.
RELAXINE	Hormone sécrétée par les ovaires, le tissu mammaire, ou encore le placenta au cours des semaines précédant l’accouchement.
RELAYEUR	Coureur dans la course de relai.
RELEVAGE	Action de relever ou résultat de cette action.
RELEVANT	Commune française du département de l’Ain.
RELEVEUR	Lanceur de relève .
RELIEUSE	Épouse d’un relieur.
RELIFTER	Lifter à nouveau.
RELIQUAT	Reste, résidu, trace, ce qui subsiste de quelque chose.
RELOOKER	Restyler, changer l’aspect visuel, dans le but d’améliorer l’image.
RELUQUER	Désirer ; convoiter.
RELUTION	Opération qui permet à une entreprise une augmentation du bénéfice par action.
REMANGER	Manger alors qu’on a déjà terminé le repas.
REMANIER	Manier de nouveau.
REMARIER	Marier de nouveau.
REMARQUE	Observation.
REMEDIER	Orthographe ancienne de remédier.
REMETTRE	Pardonner.
REMISAGE	Action de remiser.
REMISIER	Mandataire qui, moyennant une remise, apporte à un agent de change, à un coulissier des ordres d’achat ou de vente pour le compte d’un tiers.
REMIXAGE	Action de remixer, résultat de cette action.
REMMENER	Faire repartir une personne ou un animal qu’on avait amené.
REMONTER	Regarnir.
REMORDRE	Mordre de nouveau.
REMORQUE	Action de remorquer.
REMOUDRE	Moudre de nouveau.
REMOULER	Mouler à nouveau.
REMPILER	Empiler de nouveau
REMPLAGE	Petit bois servant à garnir une cloison ou une ferme.
REMPLIER	Faire un rempli.
REMPOTER	Remettre une plante dans un pot, la changer de pot parce qu’il est devenu trop petit ou que la terre est épuisée.
REMUABLE	Que l’on peut remuer.
REMUEUSE	Ouvrière chargée du remuage des bouteilles de champagne .
RENARDER	Vomir.
RENAUDER	Vomir.
RENDORMI	Qui s’est à nouveau endormi.
RENDZINE	Sol riche en humus et matière organique, qui se développe sur un substrat calcaire, soutenant une végétation calcicole.
RENEIGER	Neiger à nouveau.
RENFILER	Enfiler à nouveau.
RENGAGER	Engager de nouveau.
RENGAINE	Air de musique devenu banal.
RENIFLER	Aspirer fortement par le nez.
RENIPPER	Réparer, remettre à neuf.
RENOMMER	Donner un nouveau nom.
RENONCER	Se dépouiller de tout amour-propre.
RENTABLE	Avantageux, bénéfique, qui procure un profit autre que financier.
RENTAMER	Entamer à nouveau.
RENTRAGE	Action de rentrer, résultat de cette action.
RENTRANT	Angle rentrant.
RENVERSE	Période de courant nul ou faible, à marée haute ou à marée basse, entre le flot et le jusant.
RENVIDER	Enrouler le fil sur la broche, en le rapprochant du rouet.
RENVOYER	Vomir.
REPAIRER	Pairer à nouveau.
REPARLER	Parler à nouveau.
REPARTIE	Réponse vive, réplique faite sans délai.
REPARTIR	Recommencer.
REPASSER	Être bredouille.
REPAVAGE	Action de repaver.
REPENDRE	Pendre de nouveau.
REPENSER	Penser de nouveau, réfléchir plus profondément sur une chose.
REPENTIE	Fille repentie.
REPENTIR	Action de se repentir.
REPERCER	Percer de nouveau.
REPERDRE	Perdre de nouveau.
REPIQUER	Redoubler.
REPLACER	Remettre à sa place.
REPLOYER	Replier.
REPONDRE	Pondre à nouveau.
REPORTER	Porter de nouveau.
REPOSANT	Qui repose.
REPOSOIR	Lieu où se reposer.
REPOUSSE	Nouvelle pousse d'un végétal.
REPRIMER	Primer à nouveau.
REPRISER	Raccommoder en faisant une reprise.
REPROCHE	Action de reprocher.
REQUISIT	Accessoire de piste de cirque.
REROUTER	Modifier un trajet initial.
RESCAPER	Sauver de la mort.
RESIGNER	Signer à nouveau.
RESILIER	Grignoter la viande après l’os.
RESITUER	Situer à nouveau.
RESONNER	Sonner à nouveau.
RESOUDRE	Surgir de nulle part, arriver à l’improviste.
RESPIRER	Vivre.
RESSAYER	Essayer à nouveau.
RESSEMER	Semer de nouveau.
RESSERRE	Endroit où l’on range, où l’on serre certains objets.
RESSUAGE	Action, état d’un corps qui ressue.
RESSUYER	Sécher.
RESTANTS	Restes d'un repas.
RESTYLER	Modifier le style (d’une voiture, d’une interface graphique, etc.).
RESURGIR	Surgir à nouveau.
RETAILLE	Vin ou cidre issu de ce processus.
RETAPAGE	Réparation plus ou moins grossière, rafistolage.
RETARDER	Mettre en retard.
RETENDRE	Tendre à nouveau ; tendre ce qui est détendu.
RETENTER	Tenter de nouveau, ressayer.
RETENTIR	Rendre ou renvoyer un son éclatant.
RETERCER	Labourer une nouvelle fois la vigne, pour détruire l’herbe.
RETIRAGE	Réimpression.
RETISSER	Tisser de nouveau
RETOMBER	Pendre.
RETONDRE	Tondre à nouveau.
RETONTIR	Retentir.
RETOQUER	Toquer de nouveau (au sens de frapper à la porte).
RETORDRE	Tordre de nouveau.
RETOUCHE	Résultat d'un retouchage esthétique.
RETOUPER	Reprendre un ouvrage de poterie qui a été manqué.
RETOURNE	Rivière tributaire de la rivière Aisne.
RETRACER	Se rappeler une chose.
RETRAIRE	Traire à nouveau.
RETRAITE	Lieu de refuge.
RETREMPE	Action de retremper de l’acier.
REVALOIR	Rendre la pareille en bien ou en mal, et plus communément en mal.
REVANCHE	Action de rendre un bien qu'on a reçu.
REVELANT	Nom de famille.
REVENANT	Qui revient.
REVENDRE	Vendre de nouveau.
REVERDIE	Nom donné, en Bretagne, aux grandes marées.
REVERDIR	Redevenir vert.
REVERNIR	Vernir à nouveau.
REVERSER	Rétro-ingéniérer.
REVERSIS	Sorte de jeu de cartes où gagne celui qui fait le moins de levées, au rebours de la règle ordinaire.
REVISEUR	Celui qui revoit après un autre.
REVISION	Action par laquelle on revoit, on examine de nouveau, en vue de corriger, de modifier, de réformer s’il y a lieu.
REVISITE	Passage et photographie d'une zone géographique donnée par un satellite.
REVISSER	Remettre un chapeau, une casquette
REVOLVER	Arme à feu portative dont le barillet rotatif, percé de plusieurs chambres s’alignant tour à tour avec le canon et le système de percussion, permet de tirer plusieurs coups sans interruption.
REVOYURE	Fait de se revoir.
REVUISTE	Auteur ou de revues.
REWRITER	Écrire à nouveau, réécrire (un texte à publier).
RHAPSODE	Nom que l’on donnait à ceux qui allaient de ville en ville chanter des morceaux détachés de l’Iliade et de l’Odyssée.
RHODIAGE	Revêtir une pièce métallique de rhodium.
RHODINOL	Alcool extrait de l'essence de géranium de la Réunion ou , nommé aussi réuniol; son nom actuel est le citronellol.
RHUBARBE	Nom usuel donné au plantes du genre Rheum (famille des Polygonaceae), dont les racines peuvent parfois être utilisées en pharmacie.
RHUMERIE	Distillerie de rhum.
RHYOLITE	Roche effusive, à structure microlithique, équivalente pour les roches plutoniques au granite. Contient des quartz, des feldspaths et des micas dans une pâte rougeâtre. Couleur rose clair à rouge (porphyre rouge).
RIBOSOME	Molécule synthétisant des protéines à partir de l’ARN messager.
RIBOULER	Rouler des yeux, faire de grands yeux, les bouger dans tous les sens tellement on est étonné.
RIBOZYME	Petit ARN à propriété enzymatique, de type nucléase, transférase ou polymérase, capable de catalyser une ou plusieurs réactions biochimiques.
RICANANT	Qui ricane.
RICANEUR	Qui ricane.
RICHARDE	ou Celle qui a beaucoup de fortune, qui est riche.
RICHARDS	Nom de famille anglophone.
RICHESSE	Grands biens.
RICKSHAW	Véhicule tricycle à propulsion humaine ou mécanique, destiné au transport de personnes et de marchandises.
RICOCHER	Faire ricochet.
RICOCHET	Conséquence, effet indirect, enchaînement.
RIDEMENT	Action de rider.
RIDICULE	Personne considérée comme ridicule.
RIESLING	Vin blanc issu de ce cépage.
RIFLETTE	Zone de combats, front, guerre.
RIGATONI	Pâtes en forme de tubes striés, plus grands que les pennes et que les zitis.
RIGOLADE	Chose peu sérieuse.
RIGOLAGE	Écoulement rapide, ruissellement.
RIGOLARD	Qui rigole ou aime rigoler.
RIGOLEUR	Qui se dérange de son travail pour aller boire ou s’amuser.
RIGOLLOT	Nom de famille.
RIGOLOTE	Celle qui est peu sérieuse, peu digne de confiance.
RIMAILLE	Mauvaise poésie ; mauvais vers.
RINCETTE	Coup de vin servi, soi-disant pour rincer le verre.
RINCEUSE	Celle qui rince.
RINGARDE	Femme qui n’est plus dans le coup, qui est démodée.
